,Packets Loss,Throughput ,Delay,output
347,100.0,0.167,155.32,0.4
348,100.0,0.439,155.32,0.6
349,100.0,0.589,155.32,0.6
350,100.0,0.447,155.32,0.6
351,100.0,0.19,155.32,0.5
352,100.0,0.231,155.32,0.5
353,100.0,0.213,155.32,0.5
354,100.0,0.231,155.32,0.5
355,100.0,0.191,155.32,0.5
356,100.0,0.241,155.32,0.5
357,100.0,0.213,155.32,0.5
358,100.0,0.148,155.32,0.4
359,100.0,0.447,155.32,0.6
360,100.0,0.315,155.32,0.5
361,100.0,0.447,155.32,0.6
362,100.0,0.439,155.32,0.6
363,100.0,0.479,140.0,0.6
365,100.0,0.533,155.32,0.6
366,100.0,0.486,155.32,0.6
367,100.0,0.022,155.32,0.4
368,100.0,0.447,155.32,0.6
370,100.0,0.479,140.0,0.6
371,100.0,0.738,128.53,0.6
372,100.0,0.229,140.0,0.4
373,100.0,0.316,166.83,0.5
374,100.0,0.213,155.32,0.5
375,100.0,0.286,166.83,0.5
376,100.0,0.199,140.0,0.4
377,100.0,0.439,155.32,0.6
378,100.0,0.447,155.32,0.6
379,100.0,0.447,155.32,0.6
380,100.0,0.254,155.32,0.5
381,100.0,0.447,155.32,0.6
383,100.0,0.29,166.83,0.5
384,100.0,0.671,140.0,0.6
385,100.0,0.215,155.32,0.5
386,100.0,0.447,155.32,0.6
387,100.0,0.589,155.32,0.6
388,100.0,0.213,155.32,0.5
389,100.0,0.761,132.35,0.7
391,100.0,0.273,166.83,0.5
393,100.0,0.447,155.32,0.6
394,100.0,0.334,155.32,0.5
395,100.0,0.355,155.32,0.5
396,100.0,0.298,155.32,0.5
397,100.0,0.447,155.32,0.6
398,100.0,0.029,155.32,0.4
399,100.0,0.215,155.32,0.5
400,100.0,0.407,155.32,0.6
401,100.0,0.224,155.32,0.5
402,100.0,0.57,201.39,0.7
403,100.0,0.71,128.53,0.6
405,100.0,0.486,155.32,0.6
406,100.0,0.143,155.32,0.4
407,100.0,0.224,155.32,0.5
408,100.0,0.222,155.32,0.5
409,100.0,0.166,155.32,0.4
411,100.0,0.447,155.32,0.6
413,100.0,0.231,155.32,0.5
414,100.0,0.315,155.32,0.5
416,100.0,0.634,132.35,0.6
